core	age_calkaBP	d18Obenth	d18Ow	sealevel
Vema 1930	0.00	2.87	0.14	-10.86
Vema 1930	1.31	2.84	0.11	-8.46
Vema 1930	2.84	2.67	-0.06	5.14
Vema 1930	3.57	2.79	0.06	-4.46
Vema 1930	4.31	2.63	-0.10	8.34
Vema 1930	5.45	2.76	0.03	-2.06
Vema 1930	6.13	2.75	0.02	-1.26
Vema 1930	6.77	2.65	-0.08	6.74
Vema 1930	7.71	2.92	0.19	-14.86
Vema 1930	8.90	2.92	0.19	-14.86
Vema 1930	9.48	2.88	0.15	-11.66
Vema 1930	10.03	2.89	0.16	-12.46
Vema 1930	10.55	2.82	0.09	-6.86
Vema 1930	10.98	2.84	0.11	-8.46
Vema 1930	11.50	2.82	0.09	-6.86
Vema 1930	11.88	3.21	0.48	-38.06
Vema 1930	12.26	3.05	0.32	-25.26
Vema 1930	12.60	3.23	0.50	-39.66
Vema 1930	12.92	2.78	0.05	-3.66
Vema 1930	13.24	3.34	0.61	-48.46
Vema 1930	13.54	3.26	0.23	-18.03
Vema 1930	13.84	3.23	0.20	-15.63
Vema 1930	14.13	3.25	0.22	-17.23
Vema 1930	14.43	3.74	0.71	-56.43
Vema 1930	14.73	3.46	0.43	-34.03
Vema 1930	15.02	3.61	0.58	-46.03
Vema 1930	15.31	3.52	0.49	-38.83
Vema 1930	15.59	3.80	0.77	-61.23
Vema 1930	15.88	4.09	1.06	-84.43
Vema 1930	16.16	4.00	0.97	-77.23
Vema 1930	16.54	4.20	1.17	-93.23
Vema 1930	16.83	4.27	1.24	-98.83
Vema 1930	17.11	4.28	1.25	-99.63
Vema 1930	17.39	4.19	1.16	-92.43
Vema 1930	17.67	4.15	1.12	-89.23
Vema 1930	17.95	4.58	1.55	-123.63
Vema 1930	18.23	4.56	1.53	-122.03
Vema 1930	18.50	4.44	1.41	-112.43
Vema 1930	18.76	4.35	1.32	-105.23
Vema 1930	19.03	4.51	1.48	-118.03
Vema 1930	19.26	4.49	1.46	-116.43
Vema 1930	19.53	4.36	1.33	-106.03
Vema 1930	19.77	4.34	1.31	-104.43
Vema 1930	20.00	4.23	1.20	-95.63
Vema 1930	20.24	4.48	1.45	-115.63
Vema 1930	20.47	4.50	1.47	-117.23
Vema 1930	20.84	4.32	1.29	-102.83
Vema 1930	21.13	4.31	1.28	-102.03
Vema 1930	21.34	4.43	1.40	-111.63
Vema 1930	21.55	4.46	1.43	-114.03
Vema 1930	21.76	4.25	1.22	-97.23
Vema 1930	21.96	4.41	1.38	-110.03
Vema 1930	22.17	4.35	1.32	-105.23
Vema 1930	22.37	4.36	1.33	-106.03
Vema 1930	22.57	4.25	1.22	-97.23
Vema 1930	22.77	4.25	1.22	-97.23
Vema 1930	22.97	4.32	1.29	-102.83
Vema 1930	23.17	4.32	1.29	-102.83
Vema 1930	23.37	4.34	1.31	-104.43
Vema 1930	23.57	4.29	1.26	-100.43
Vema 1930	23.77	4.29	1.26	-100.43
Vema 1930	23.97	4.48	1.45	-115.63
Vema 1930	24.17	4.32	1.29	-102.83
Vema 1930	24.37	4.33	1.30	-103.63
Vema 1930	24.58	4.30	1.27	-101.23
Vema 1930	24.79	4.23	1.20	-95.63
Vema 1930	25.00	4.32	1.29	-102.83
Vema 1930	25.22	4.41	1.38	-110.03
Vema 1930	25.45	4.27	1.24	-98.83
Vema 1930	25.67	4.14	1.11	-88.43
Vema 1930	25.90	4.28	1.25	-99.63
Vema 1930	26.14	4.42	1.39	-110.83
Vema 1930	26.37	4.28	1.25	-99.63
Vema 1930	26.62	4.19	1.16	-92.43
Vema 1930	26.88	4.12	1.09	-86.83
Vema 1930	27.13	4.17	1.14	-90.83
Vema 1930	27.40	4.17	1.14	-90.83
Vema 1930	27.68	4.23	1.20	-95.63
Vema 1930	27.95	4.12	1.09	-86.83
Vema 1930	28.25	4.20	1.17	-93.23
Vema 1930	28.55	4.09	1.06	-84.43
Vema 1930	28.85	3.98	0.95	-75.63
Vema 1930	29.17	3.91	0.88	-70.03
Vema 1930	29.48	3.89	0.86	-68.43
Vema 1930	29.81	4.05	1.02	-81.23
Vema 1930	30.14	4.00	0.97	-77.23
Vema 1930	30.47	4.03	1.00	-79.63
Vema 1930	30.81	3.99	0.96	-76.43
Vema 1930	31.16	3.71	0.68	-54.03
Vema 1930	31.51	3.92	0.89	-70.83
Vema 1930	31.86	3.88	0.85	-67.63
Vema 1930	32.22	3.95	0.92	-73.23
Vema 1930	32.57	3.92	0.89	-70.83
Vema 1930	32.94	4.01	0.98	-78.03
Vema 1930	33.29	3.99	0.96	-76.43
Vema 1930	33.67	3.98	0.95	-75.63
Vema 1930	34.05	3.89	0.86	-68.43
Vema 1930	34.45	3.96	0.93	-74.03
Vema 1930	34.80	4.00	0.97	-77.23
Vema 1930	35.18	4.10	1.07	-85.23
Vema 1930	35.56	3.91	0.88	-70.03
Vema 1930	35.94	4.09	1.06	-84.43
Vema 1930	36.33	3.88	0.85	-67.63
Vema 1930	37.11	3.91	0.88	-70.03
Vema 1930	37.50	3.86	0.83	-66.03
Vema 1930	37.89	3.85	0.82	-65.23
Vema 1930	38.29	3.77	0.74	-58.83
Vema 1930	38.68	3.95	0.92	-73.23
Vema 1930	39.08	3.85	0.82	-65.23
Vema 1930	39.48	4.01	0.98	-78.03
Vema 1930	39.88	3.99	0.96	-76.43
Vema 1930	40.28	4.07	1.04	-82.83
Vema 1930	41.09	3.83	0.80	-63.63
Vema 1930	41.49	3.89	0.86	-68.43
Vema 1930	41.90	3.89	0.86	-68.43
Vema 1930	42.31	3.94	0.91	-72.43
Vema 1930	42.71	3.98	0.95	-75.63
Vema 1930	43.53	3.95	0.92	-73.23
Vema 1930	46.01	3.88	0.85	-67.63
Vema 1930	46.43	3.89	0.86	-68.43
Vema 1930	46.85	4.02	0.99	-78.83
Vema 1930	47.68	3.70	0.67	-53.23
Vema 1930	48.10	3.65	0.62	-49.23
Vema 1930	48.52	3.72	0.69	-54.83
Vema 1930	48.94	3.62	0.59	-46.83
Vema 1930	49.36	3.90	0.87	-69.23
Vema 1930	50.20	3.90	0.87	-69.23
Vema 1930	50.62	3.84	0.81	-64.43
Vema 1930	51.04	3.85	0.82	-65.23
Vema 1930	51.47	3.87	0.84	-66.83
Vema 1930	51.89	3.90	0.87	-69.23
Vema 1930	52.31	3.97	0.94	-74.83
Vema 1930	52.74	3.93	0.90	-71.63
Vema 1930	53.16	3.91	0.88	-70.03
Vema 1930	53.59	3.81	0.78	-62.03
Vema 1930	54.15	3.81	0.78	-62.03
Vema 1930	54.30	3.78	0.75	-59.63
Vema 1930	54.37	3.42	0.39	-30.83
Vema 1930	54.79	3.56	0.53	-42.03
Vema 1930	55.22	3.69	0.66	-52.43
Vema 1930	55.65	3.67	0.64	-50.83
Vema 1930	56.07	3.76	0.73	-58.03
Vema 1930	56.50	3.50	0.47	-37.23
Vema 1930	56.93	3.84	0.81	-64.43
Vema 1930	57.36	3.82	0.79	-62.83
Vema 1930	57.79	3.80	0.77	-61.23
Vema 1930	58.21	4.06	1.03	-82.03
Vema 1930	58.64	4.05	1.02	-81.23
Vema 1930	59.07	3.96	0.93	-74.03
Vema 1930	59.50	3.87	0.84	-66.83
Vema 1930	59.93	4.05	1.02	-81.23
Vema 1930	60.36	3.98	0.95	-75.63
Vema 1930	60.79	3.89	0.86	-68.43
Vema 1930	61.22	4.01	0.98	-78.03
Vema 1930	62.08	3.99	0.96	-76.43
Vema 1930	62.94	4.05	1.02	-81.23
Vema 1930	63.37	3.97	0.94	-74.83
Vema 1930	63.80	3.93	0.90	-71.63
Vema 1930	64.23	4.02	0.99	-78.83
Vema 1930	64.66	3.97	0.94	-74.83
Vema 1930	65.09	3.92	0.89	-70.83
Vema 1930	65.52	3.94	0.91	-72.43
Vema 1930	65.96	4.02	0.99	-78.83
Vema 1930	66.39	3.96	0.93	-74.03
Vema 1930	66.83	3.83	0.80	-63.63
Vema 1930	67.77	3.99	0.96	-76.43
Vema 1930	68.21	3.95	0.92	-73.23
Vema 1930	68.66	3.84	0.81	-64.43
Vema 1930	69.10	3.81	0.78	-62.03
Vema 1930	69.55	3.77	0.74	-58.83
Vema 1930	70.02	3.81	0.78	-62.03
Vema 1930	70.49	3.83	0.80	-63.63
Vema 1930	71.19	3.86	0.83	-66.03
Vema 1930	71.77	3.69	0.66	-52.43
Vema 1930	72.36	3.54	0.51	-40.43
Vema 1930	73.05	3.56	0.53	-42.03
Vema 1930	73.77	3.62	0.59	-46.83
Vema 1930	74.49	3.74	0.71	-56.43
Vema 1930	75.25	3.70	0.67	-53.23
Vema 1930	76.01	3.54	0.51	-40.43
Vema 1930	76.78	3.58	0.55	-43.63
Vema 1930	77.57	3.53	0.50	-39.63
Vema 1930	78.36	3.49	0.46	-36.43
Vema 1930	79.15	3.41	0.38	-30.03
Vema 1930	79.95	3.39	0.36	-28.43
Vema 1930	80.76	3.40	0.37	-29.23
Vema 1930	81.56	3.35	0.32	-25.23
Vema 1930	82.37	3.30	0.27	-21.23
Vema 1930	83.19	3.39	0.36	-28.43
Vema 1930	84.00	3.39	0.36	-28.43
Vema 1930	84.82	3.53	0.50	-39.63
Vema 1930	85.64	3.48	0.45	-35.63
Vema 1930	86.46	3.65	0.62	-49.23
Vema 1930	87.29	3.68	0.65	-51.63
Vema 1930	88.12	3.72	0.69	-54.83
Vema 1930	88.95	3.79	0.76	-60.43
Vema 1930	89.80	3.59	0.56	-44.43
Vema 1930	90.64	3.71	0.68	-54.03
Vema 1930	91.50	3.69	0.66	-52.43
Vema 1930	92.66	3.48	0.45	-35.63
Vema 1930	93.54	3.45	0.42	-33.23
Vema 1930	94.46	3.42	0.39	-30.83
Vema 1930	95.37	3.55	0.52	-41.23
Vema 1930	96.30	3.49	0.46	-36.43
Vema 1930	97.25	3.39	0.36	-28.43
Vema 1930	98.20	3.37	0.34	-26.83
Vema 1930	99.16	3.40	0.37	-29.23
Vema 1930	100.12	3.41	0.38	-30.03
Vema 1930	101.08	3.43	0.40	-31.63
Vema 1930	102.01	3.34	0.31	-24.43
Vema 1930	102.95	3.53	0.50	-39.63
Vema 1930	103.88	3.60	0.57	-45.23
Vema 1930	104.89	3.56	0.53	-42.03
Vema 1930	105.76	3.57	0.54	-42.83
Vema 1930	106.61	3.50	0.47	-37.23
Vema 1930	107.93	3.88	0.85	-67.63
Vema 1930	108.46	3.65	0.62	-49.23
Vema 1930	109.23	3.70	0.67	-53.23
Vema 1930	110.24	3.75	0.72	-57.23
Vema 1930	111.00	3.73	0.70	-55.63
Vema 1930	111.77	3.37	0.34	-26.83
Vema 1930	112.53	3.37	0.34	-26.83
Vema 1930	113.58	3.34	0.31	-24.43
Vema 1930	114.40	3.13	0.10	-7.63
Vema 1930	115.50	3.07	0.04	-2.83
Vema 1930	116.42	3.36	0.33	-26.03
Vema 1930	117.34	2.91	0.18	-14.06
Vema 1930	118.61	2.77	0.04	-2.86
Vema 1930	119.61	2.72	-0.01	1.14
Vema 1930	120.61	2.83	0.10	-7.66
Vema 1930	122.00	2.78	0.05	-3.66
Vema 1930	123.05	2.68	-0.05	4.34
Vema 1930	124.10	2.95	0.22	-17.26
Vema 1930	125.52	2.77	0.04	-2.86
Vema 1930	126.58	2.71	-0.02	1.94
Vema 1930	127.61	2.81	0.08	-6.06
Vema 1930	128.96	2.94	0.21	-16.46
Vema 1930	129.95	2.89	0.16	-12.46
Vema 1930	130.81	3.46	0.73	-58.06
Vema 1930	131.96	3.59	0.56	-44.43
Vema 1930	132.75	3.36	0.33	-26.03
Vema 1930	133.47	3.84	0.81	-64.43
846 Liseicki	134.54	4.07	1.04	-82.82
846 Liseicki	137.69	4.24	1.21	-96.42
846 Liseicki	140.26	3.73	0.70	-55.63
846 Liseicki	142.27	4.06	1.03	-82.02
846 Liseicki	144.25	4.12	1.09	-86.82
846 Liseicki	146.32	4.05	1.02	-81.22
846 Liseicki	148.21	3.97	0.94	-74.83
846 Liseicki	150.10	3.83	0.80	-63.63
846 Liseicki	151.99	3.95	0.92	-73.63
846 Liseicki	153.88	3.89	0.86	-68.43
846 Liseicki	156.19	4.02	0.99	-79.22
846 Liseicki	158.49	4.03	1.00	-80.02
846 Liseicki	161.04	4.02	0.99	-78.82
846 Liseicki	163.34	3.93	0.90	-71.63
846 Liseicki	165.65	3.83	0.80	-63.63
846 Liseicki	167.95	3.79	0.76	-60.83
846 Liseicki	170.22	3.75	0.72	-57.23
846 Liseicki	172.14	3.66	0.63	-50.43
846 Liseicki	174.15	3.62	0.59	-46.83
846 Liseicki	176.24	3.60	0.57	-45.23
846 Liseicki	178.87	3.68	0.65	-52.03
846 Liseicki	182.00	3.66	0.63	-50.03
846 Liseicki	185.12	3.66	0.63	-50.03
846 Liseicki	187.78	3.82	0.79	-62.83
846 Liseicki	190.21	3.43	0.39	-31.23
846 Liseicki	192.16	3.32	0.28	-22.43
846 Liseicki	194.85	3.39	0.36	-28.43
846 Liseicki	197.28	3.36	0.33	-26.03
846 Liseicki	200.30	2.99	-0.05	3.96
846 Liseicki	203.53	3.18	0.14	-11.26
846 Liseicki	206.93	3.07	0.04	-2.88
846 Liseicki	210.10	2.96	0.23	-18.07
846 Liseicki	213.09	2.89	0.16	-12.47
846 Liseicki	216.21	2.82	0.08	-6.47
846 Liseicki	219.08	3.16	0.42	-33.67
846 Liseicki	221.58	3.68	0.95	-76.06
846 Liseicki	224.39	3.77	0.74	-58.99
846 Liseicki	227.52	3.43	0.40	-31.82
846 Liseicki	230.36	3.55	0.52	-41.83
846 Liseicki	233.49	3.42	0.38	-30.66
846 Liseicki	236.33	3.21	0.17	-13.88
846 Liseicki	240.09	3.09	0.06	-4.70
846 Liseicki	243.14	3.10	0.07	-5.52
846 Liseicki	245.31	3.52	0.49	-39.53
846 Liseicki	247.62	3.51	0.48	-38.35
846 Liseicki	250.06	3.78	0.75	-59.96
846 Liseicki	252.27	3.88	0.85	-68.38
846 Liseicki	254.47	3.82	0.79	-63.59
846 Liseicki	256.92	3.87	0.84	-67.21
846 Liseicki	259.36	3.82	0.79	-63.23
846 Liseicki	262.05	3.82	0.80	-63.64
846 Liseicki	264.64	3.74	0.71	-56.86
846 Liseicki	267.31	3.74	0.72	-57.28
846 Liseicki	268.42	3.78	0.75	-60.09
846 Liseicki	269.75	3.63	0.60	-48.10
846 Liseicki	272.15	3.85	0.82	-65.71
846 Liseicki	272.71	3.75	0.72	-57.72
846 Liseicki	275.77	3.84	0.81	-64.94
846 Liseicki	277.71	3.63	0.60	-48.15
846 Liseicki	278.55	3.60	0.57	-45.76
846 Liseicki	280.62	3.41	0.38	-30.17
846 Liseicki	282.43	3.37	0.34	-27.39
846 Liseicki	284.01	3.17	0.14	-11.40
846 Liseicki	284.59	3.23	0.20	-16.20
846 Liseicki	285.58	3.20	0.17	-13.81
846 Liseicki	286.36	3.30	0.27	-21.81
846 Liseicki	287.23	3.31	0.28	-22.62
846 Liseicki	288.46	3.21	0.18	-14.63
846 Liseicki	290.84	3.26	0.23	-18.24
846 Liseicki	293.91	3.48	0.45	-36.26
846 Liseicki	297.87	3.39	0.36	-29.09
846 Liseicki	301.02	3.32	0.29	-23.52
846 Liseicki	303.48	3.50	0.47	-37.97
846 Liseicki	305.54	3.26	0.24	-18.81
846 Liseicki	307.69	3.23	0.21	-16.45
846 Liseicki	309.13	3.19	0.17	-13.27
846 Liseicki	311.77	3.21	0.19	-14.92
846 Liseicki	314.88	2.95	-0.07	5.82
846 Liseicki	316.08	3.16	0.14	-11.00
846 Liseicki	317.27	3.09	0.06	-5.03
846 Liseicki	319.19	3.41	0.68	-54.06
846 Liseicki	319.75	3.10	0.37	-29.27
846 Liseicki	323.00	2.61	-0.12	9.93
846 Liseicki	323.79	2.61	-0.12	9.93
846 Liseicki	326.53	2.72	-0.01	1.13
846 Liseicki	329.05	2.83	-0.19	15.15
846 Liseicki	329.52	3.10	0.08	-6.45
846 Liseicki	333.22	3.09	0.07	-5.72
846 Liseicki	334.89	3.29	0.27	-21.35
846 Liseicki	337.30	4.00	0.98	-78.59
846 Liseicki	337.70	3.64	0.62	-49.80
846 Liseicki	339.12	3.99	0.97	-77.82
846 Liseicki	339.53	3.79	0.77	-61.83
846 Liseicki	340.34	3.93	0.91	-73.04
846 Liseicki	341.19	4.11	1.09	-87.46
846 Liseicki	341.62	3.97	0.95	-76.27
846 Liseicki	343.04	3.96	0.95	-75.89
846 Liseicki	344.65	4.07	1.05	-84.32
846 Liseicki	345.15	3.77	0.75	-60.33
846 Liseicki	347.98	3.91	0.89	-71.59
846 Liseicki	351.07	3.91	0.90	-71.64
846 Liseicki	353.27	3.99	0.98	-78.08
846 Liseicki	354.76	3.89	0.88	-70.11
846 Liseicki	355.99	3.95	0.94	-74.93
846 Liseicki	357.47	3.88	0.87	-69.36
846 Liseicki	358.95	4.29	1.28	-102.18
846 Liseicki	361.42	3.57	0.56	-44.64
846 Liseicki	365.02	3.44	0.43	-34.31
846 Liseicki	368.88	3.91	0.90	-71.97
846 Liseicki	372.46	3.49	0.48	-38.44
846 Liseicki	375.22	3.49	0.48	-38.49
846 Liseicki	377.42	3.47	0.46	-36.93
846 Liseicki	379.90	3.37	0.36	-28.98
846 Liseicki	382.38	3.45	0.44	-35.43
846 Liseicki	385.76	3.28	0.27	-21.89
846 Liseicki	389.01	3.08	0.07	-5.95
846 Liseicki	392.78	3.16	0.16	-12.42
846 Liseicki	395.05	2.87	-0.13	10.73
846 Liseicki	396.30	2.88	-0.12	9.91
846 Liseicki	397.56	2.56	-0.17	13.93
846 Liseicki	399.58	2.57	-0.16	13.13
846 Liseicki	400.33	2.62	-0.11	9.13
846 Liseicki	403.10	2.43	-0.30	24.32
846 Liseicki	405.87	2.67	-0.06	5.13
846 Liseicki	408.83	2.70	-0.03	2.73
846 Liseicki	412.30	2.84	-0.16	12.69
846 Liseicki	416.51	3.08	0.08	-6.23
846 Liseicki	420.14	3.70	0.70	-56.32
846 Liseicki	424.04	3.89	0.90	-71.63
846 Liseicki	426.84	4.17	1.18	-94.11
846 Liseicki	430.01	4.28	1.29	-103.40
846 Liseicki	433.01	4.28	1.29	-103.09
846 Liseicki	436.30	4.36	1.37	-109.98
846 Liseicki	438.33	4.28	1.29	-103.24
846 Liseicki	440.11	3.87	0.88	-70.49
846 Liseicki	441.55	4.06	1.07	-85.73
846 Liseicki	445.04	3.82	0.83	-66.63
846 Liseicki	446.69	3.82	0.83	-66.68
846 Liseicki	447.99	3.89	0.91	-72.72
846 Liseicki	449.28	3.82	0.83	-66.76
846 Liseicki	450.57	3.80	0.81	-65.19
846 Liseicki	453.02	3.79	0.81	-64.46
846 Liseicki	453.41	3.88	0.90	-71.67
846 Liseicki	454.34	3.91	0.93	-74.10
846 Liseicki	454.83	3.81	0.83	-66.11
846 Liseicki	456.06	4.00	1.02	-81.35
846 Liseicki	457.99	4.07	1.09	-87.00
846 Liseicki	460.03	3.95	0.97	-77.46
846 Liseicki	462.50	3.97	0.99	-79.13
846 Liseicki	464.95	4.00	1.02	-81.60
846 Liseicki	467.98	3.79	0.81	-64.89
846 Liseicki	471.24	3.62	0.64	-51.39
846 Liseicki	474.46	3.40	0.42	-33.88
846 Liseicki	477.67	3.44	0.46	-37.17
846 Liseicki	482.82	3.29	0.32	-25.32
846 Liseicki	486.35	3.18	0.21	-16.62
846 Liseicki	489.65	3.18	0.21	-16.72
846 Liseicki	492.50	3.71	0.74	-59.19
846 Liseicki	495.13	3.23	0.26	-20.87
846 Liseicki	497.98	3.30	0.33	-26.55
846 Liseicki	500.83	3.04	0.07	-5.84
846 Liseicki	503.68	3.48	0.51	-41.11
846 Liseicki	505.97	3.57	0.60	-48.38
846 Liseicki	508.26	3.62	0.66	-52.44
846 Liseicki	510.54	3.75	0.79	-62.91
846 Liseicki	512.87	3.74	0.78	-62.17
846 Liseicki	516.37	3.62	0.66	-52.67
846 Liseicki	517.13	3.43	0.47	-37.50
846 Liseicki	520.36	3.48	0.52	-41.59
846 Liseicki	523.94	3.44	0.48	-38.49
846 Liseicki	527.64	3.46	0.50	-40.20
846 Liseicki	532.28	3.62	0.66	-53.13
846 Liseicki	535.99	3.74	0.79	-62.83
846 Liseicki	540.06	3.73	0.78	-62.15
846 Liseicki	543.53	3.70	0.75	-59.85
846 Liseicki	548.07	3.84	0.89	-71.18
846 Liseicki	552.18	3.56	0.61	-48.90
846 Liseicki	556.12	3.69	0.74	-59.41
846 Liseicki	558.83	3.57	0.62	-49.89
846 Liseicki	562.07	3.48	0.53	-42.78
846 Liseicki	564.07	3.27	0.33	-26.04
846 Liseicki	566.08	3.24	0.30	-23.70
846 Liseicki	568.75	3.30	0.36	-28.57
846 Liseicki	570.74	3.10	0.16	-12.63
846 Liseicki	572.43	3.08	0.14	-11.08
846 Liseicki	575.08	2.94	0.00	0.04
846 Liseicki	578.45	3.23	0.29	-23.25
846 Liseicki	581.58	3.71	0.77	-61.74
846 Liseicki	584.94	3.76	0.82	-65.83
846 Liseicki	588.11	3.57	0.63	-50.73
846 Liseicki	592.23	3.40	0.47	-37.24
846 Liseicki	596.95	3.37	0.44	-34.98
846 Liseicki	600.44	3.44	0.51	-40.68
846 Liseicki	605.65	3.37	0.44	-35.21
846 Liseicki	610.52	3.15	0.22	-17.73
846 Liseicki	614.17	3.38	0.45	-36.22
846 Liseicki	617.85	3.54	0.61	-49.12
846 Liseicki	620.12	3.75	0.82	-50.75
846 Liseicki	622.91	4.24	1.32	-80.95
846 Liseicki	625.41	4.14	1.22	-74.85
846 Liseicki	628.00	4.46	1.54	-94.59
846 Liseicki	629.67	4.15	1.23	-75.54
846 Liseicki	630.97	4.29	1.37	-84.18
846 Liseicki	632.31	4.35	1.43	-87.90
846 Liseicki	633.90	4.22	1.30	-79.93
846 Liseicki	635.13	4.12	1.20	-73.80
846 Liseicki	637.61	4.17	1.25	-76.93
846 Liseicki	639.62	4.03	1.11	-68.35
846 Liseicki	642.22	4.09	1.17	-72.10
846 Liseicki	644.01	4.09	1.17	-72.13
846 Liseicki	646.01	4.10	1.18	-72.78
846 Liseicki	647.60	4.08	1.16	-71.58
846 Liseicki	650.75	3.95	1.03	-63.65
846 Liseicki	653.75	3.91	1.00	-61.24
846 Liseicki	655.11	3.97	1.06	-64.96
846 Liseicki	657.02	3.90	0.99	-60.69
846 Liseicki	658.38	3.87	0.96	-58.87
846 Liseicki	660.02	3.83	0.92	-56.44
846 Liseicki	661.96	3.69	0.78	-47.87
846 Liseicki	663.71	3.91	1.00	-61.44
846 Liseicki	664.29	3.68	0.77	-47.30
846 Liseicki	667.49	3.91	1.00	-61.51
846 Liseicki	670.40	3.78	0.87	-53.57
846 Liseicki	672.14	3.74	0.83	-51.14
846 Liseicki	673.43	3.92	1.01	-62.24
846 Liseicki	674.68	3.78	0.87	-53.65
846 Liseicki	676.20	3.85	0.94	-57.99
846 Liseicki	677.73	3.80	0.89	-54.94
846 Liseicki	680.27	3.79	0.88	-54.37
846 Liseicki	684.35	3.39	0.48	-29.84
846 Liseicki	711.08	3.84	0.94	-57.98
846 Liseicki	719.40	3.99	1.09	-67.31
846 Liseicki	721.48	3.95	1.05	-64.88
846 Liseicki	722.71	4.00	1.10	-67.97
846 Liseicki	723.75	3.79	0.89	-55.06
846 Liseicki	724.90	3.59	0.70	-42.77
846 Liseicki	726.74	3.54	0.65	-39.72
846 Liseicki	729.90	3.63	0.74	-45.30
846 Liseicki	737.66	3.75	0.86	-52.78
846 Liseicki	742.19	3.66	0.77	-47.30
846 Liseicki	744.15	3.77	0.88	-54.10
846 Liseicki	745.68	3.70	0.81	-49.81
846 Liseicki	746.76	3.88	0.99	-60.90
846 Liseicki	748.65	4.01	1.12	-68.92
846 Liseicki	753.27	3.83	0.94	-57.91
846 Liseicki	756.54	3.83	0.94	-57.95
846 Liseicki	760.10	3.67	0.78	-48.15
846 Liseicki	763.56	3.47	0.58	-35.89
846 Liseicki	766.71	3.52	0.63	-39.01
846 Liseicki	769.27	3.39	0.50	-31.04
846 Liseicki	771.78	3.30	0.41	-25.53
846 Liseicki	774.05	3.34	0.46	-28.03
846 Liseicki	776.56	3.09	0.21	-12.68
846 Liseicki	779.65	3.04	0.16	-9.64
846 Liseicki	782.58	3.02	0.14	-8.45
846 Liseicki	785.33	3.13	0.25	-15.25
846 Liseicki	787.42	3.39	0.51	-31.27
846 Liseicki	789.24	3.50	0.61	-37.76
846 Liseicki	792.81	3.33	0.45	-27.65
846 Liseicki	794.83	4.04	1.16	-71.37
846 Liseicki	798.26	3.99	1.11	-68.33
846 Liseicki	801.96	3.96	1.08	-66.52
846 Liseicki	805.33	3.77	0.89	-54.85
846 Liseicki	807.98	3.80	0.92	-56.72
846 Liseicki	810.03	3.44	0.56	-34.58
846 Liseicki	812.19	3.74	0.86	-53.05
846 Liseicki	814.51	3.66	0.78	-48.14
846 Liseicki	816.55	3.53	0.65	-40.16
846 Liseicki	819.04	3.37	0.49	-30.33
846 Liseicki	821.59	3.22	0.34	-21.12
846 Liseicki	823.88	3.48	0.60	-37.13
846 Liseicki	832.19	3.41	0.53	-32.88
846 Liseicki	834.82	3.39	0.51	-31.66
846 Liseicki	837.44	3.42	0.54	-33.53
846 Liseicki	840.06	3.35	0.48	-29.23
846 Liseicki	842.68	3.13	0.26	-15.72
846 Liseicki	845.29	3.03	0.16	-9.58
846 Liseicki	847.91	3.08	0.21	-12.67
846 Liseicki	850.80	3.21	0.34	-20.69
846 Liseicki	853.42	3.40	0.53	-32.40
846 Liseicki	856.63	2.95	0.08	-4.73
846 Liseicki	860.67	2.98	0.11	-6.60
846 Liseicki	863.78	3.30	0.43	-26.31
846 Liseicki	866.93	3.82	0.95	-58.33
846 Liseicki	869.96	3.80	0.93	-57.12
846 Liseicki	873.35	4.15	1.28	-78.67
846 Liseicki	876.32	4.05	1.18	-72.54
846 Liseicki	878.65	4.14	1.27	-78.09
846 Liseicki	880.82	4.08	1.21	-74.42
846 Liseicki	883.50	3.92	1.05	-64.59
846 Liseicki	886.17	3.82	0.95	-58.45
846 Liseicki	889.18	3.90	1.03	-63.39
846 Liseicki	892.85	3.87	1.00	-61.57
846 Liseicki	897.28	3.81	0.94	-57.91
846 Liseicki	900.33	3.82	0.95	-58.54
846 Liseicki	902.00	3.41	0.54	-33.31
846 Liseicki	903.44	3.53	0.66	-40.70
846 Liseicki	904.39	3.58	0.71	-43.77
846 Liseicki	905.59	3.51	0.64	-39.47
846 Liseicki	906.78	3.45	0.58	-35.78
846 Liseicki	908.46	3.51	0.64	-39.47
846 Liseicki	910.85	3.51	0.64	-39.47
846 Liseicki	915.87	3.62	0.75	-46.24
846 Liseicki	921.37	3.76	0.89	-54.85
846 Liseicki	924.48	3.89	1.02	-62.85
846 Liseicki	926.44	3.82	0.95	-58.54
846 Liseicki	927.67	3.83	0.96	-59.16
846 Liseicki	928.49	3.60	0.73	-45.01
846 Liseicki	931.87	3.59	0.72	-44.39
846 Liseicki	935.86	3.39	0.52	-32.08
846 Liseicki	938.93	3.31	0.44	-27.16
846 Liseicki	942.09	2.87	0.00	-0.09
846 Liseicki	944.55	3.12	0.25	-15.47
846 Liseicki	947.25	2.99	0.12	-7.47
846 Liseicki	949.57	2.89	0.02	-1.32
846 Liseicki	952.11	2.75	-0.12	7.30
846 Liseicki	954.91	2.70	-0.17	10.37
846 Liseicki	957.39	3.44	0.57	-35.16
846 Liseicki	959.63	3.17	0.30	-18.55
846 Liseicki	965.25	3.57	0.70	-43.16
846 Liseicki	968.79	3.34	0.47	-29.01
846 Liseicki	972.53	3.25	0.38	-23.47
846 Liseicki	976.26	3.19	0.32	-19.78
846 Liseicki	979.99	3.06	0.19	-11.78
846 Liseicki	984.03	3.30	0.43	-26.55
846 Liseicki	988.61	3.36	0.49	-30.24
