"Species"	"Status"	"MinT"	"MaxT"
"Abderites"	"extinct"	17.5	21
"Abderites"	"extinct"	11.608	15.97
"Abderites"	"extinct"	16.3	17.5
"Abderites"	"extinct"	16.3	17.5
"Abderites"	"extinct"	16.3	17.5
"Abderites"	"extinct"	15.5	16.3
"Abderites"	"extinct"	16.3	17.5
"Abderites"	"extinct"	16.3	17.5
"Abderites"	"extinct"	17.5	21
"Abderites"	"extinct"	23.03	28.4
"Pithiculites"	"extinct"	15.5	16.3
"Pitheculites"	"extinct"	15.5	16.3
"Pitheculites"	"extinct"	17.5	21
"Abrocoma"	"extinct"	6.8	9
"Abrocoma"	"extinct"	6.8	9
"Abrocoma"	"extinct"	7.14	7.7
"Abrocoma"	"extinct"	6.8	9
"Abrocoma"	"extinct"	7.14	8
"Abrocoma"		0.0117	0.126
"Abrocoma"		0.0117	0.126
"Abrocoma"		0.0117	0.126
"Ameghinomys"	"extinct"	16.3	17.5
"Ameghinomys"	"extinct"	16.3	17.5
"Ameghinomys"	"extinct"	16.3	17.5
"Ameghinomys"	"extinct"	16.3	17.5
"Ameghinomys"	"extinct"	16.3	17.5
"Ameghinomys"	"extinct"	16.3	17.5
"Ameghinomys"	"extinct"	16.3	17.5
"Ameghinomys"	"extinct"	16.3	17.5
"Ameghinomys"	"extinct"	16.3	17.5
"Protabrocoma"	"extinct"	6.8	9
"Protabrocoma"	"extinct"	6.8	9
"Protabrocoma"	"extinct"	4.3	4.3
"Protabrocoma"	"extinct"	2.588	5.332
"Protabrocoma"	"extinct"	7.246	11.608
"Protabrocoma"	"extinct"	5.332	11.608
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	17.5	21
"Acaremys"	"extinct"	15.97	23.03
"Acaremys"	"extinct"	15.97	23.03
"Acaremys"	"extinct"	15.97	23.03
"Acaremys"	"extinct"	15.97	23.03
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	17.5	21
"Acaremys"	"extinct"	17.5	21
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Acaremys"	"extinct"	16.3	17.5
"Changquin"	"extinct"	21	29
"Galileomys"	"extinct"	17.5	21
"Galileomys"	"extinct"	17.5	21
"Galileomys"	"extinct"	21	29
"Galileomys"	"extinct"	13.8	15.5
"Galileomys"	"extinct"	16	18
"Galileomys"	"extinct"	16	18
"Galileomys"	"extinct"	15.97	23.03
"Galileomys"	"extinct"	15.97	23.03
"Galileomys"	"extinct"	15.97	20.44
"Galileomys"	"extinct"	15.97	23.03
"Galileomys"	"extinct"	16	18
"Galileomys"	"extinct"	15.97	23.03
"Platypittamys"	"extinct"	21	29
"Pseudoacaremys"	"extinct"	16.3	17.5
"Pseudoacaremys"	"extinct"	16.3	17.5
"Pseudoacaremys"	"extinct"	16.3	17.5
"Acoelodus"	"extinct"	33.9	48.6
"Acoelodus"	"extinct"	37.2	48.6
"Acoelodus"	"extinct"	38	41.3
"Acoelodus"	"extinct"	38	41.3
"Acoelodus"	"extinct"	33.9	48.6
"Allalmeia"	"extinct"	36	42
"Brachystephanus"	"extinct"	36	42
"Camargomendesia"	"extinct"	48.6	58.7
"Camargomendesia"	"extinct"	57	59
"Colbertia"	"extinct"	41.3	47.8
"Colbertia"	"extinct"	37.2	48.6
"Colbertia"	"extinct"	41.3	47.8
"Colbertia"	"extinct"	48.6	58.7
"Colbertia"	"extinct"	33.9	37.2
"Colbertia"	"extinct"	57	59
"Colbertia"	"extinct"	41.3	47.8
"Dolichostylodon"	"extinct"	37.2	48.6
"Isotypotherium"	"extinct"	37.2	48.6
"Itaboraitherium"	"extinct"	57	59
"Kibenikhoria"	"extinct"	48.6	55.8
"Kibenikhoria"	"extinct"	55.8	57
"Kibenikhoria"	"extinct"	55.8	57
"Kibenikhoria"	"extinct"	37.2	55.8
"Kibenikhoria"	"extinct"	57	59
"Kibenikhoria"	"extinct"	37.2	55.8
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	40.4	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	33.9	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	40.4	48.6
"Maxschlosseria"	"extinct"	38	41.3
"Maxschlosseria"	"extinct"	33.9	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	40.4	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	40.4	48.6
"Maxschlosseria"	"extinct"	37.2	48.6
"Maxschlosseria"	"extinct"	38	41.3
"Oldfieldthomasia"	"extinct"	38	41.3
"Oldfieldthomasia"	"extinct"	38	41.3
