genus	gen_lvl_status	min_ma	max_ma
Austropediomys	extinct	47.8	56
Chulpasia	extinct	47.8	59.2
Eutrochodon	extinct	33.9	37.71
Fieratherium	extinct	23.03	27.82
Florentinoameghinia	extinct	41.3	47.8
Florentinoameghinia	extinct	37.71	47.8
Groeberia	extinct	27.82	37.71
Groeberia	extinct	37.71	47.8
Marmosopsis	extinct	47.8	59.2
Marmosopsis	extinct	47.8	56
Marmosopsis	extinct	47.8	56
Monodelphopsis	extinct	47.8	56
Monodelphopsis	extinct	47.8	56
Palaeocladosictis	extinct	47.8	56
Picunia	extinct	33.9	37.71
Trilobodon	extinct	33.9	37.71
Wirunodon	extinct	27.2	31.1
Zeusdelphys	extinct	47.8	56
Coona	extinct	38	41.2
Coona	extinct	37.71	47.8
Derorhynchus	extinct	47.8	56
Derorhynchus	extinct	47.8	56
Diogenesia	extinct	47.8	56
Pauladelphys	extinct	41.3	47.8
Pauladelphys	extinct	47.8	56
Periakros	extinct	27.82	33.9
Reigia	extinct	33.9	37.71
Rumiodon	extinct	27.2	31.1
Kiruwamaq	extinct	27.2	31.1
Minusculodelphis	extinct	47.8	56
Canchadelphys	extinct	27.82	33.9
Caroloameghinia	extinct	38	41.2
Caroloameghinia	extinct	37.71	47.8
Peradectes	extinct	47.8	59.2
Procaroloameghinia	extinct	47.8	56
Procaroloameghinia	extinct	47.8	56
Bergqvistherium	extinct	47.8	56
Carolocoutoia	extinct	47.8	56
Guggenheimia	extinct	47.8	56
Guggenheimia	extinct	47.8	56
Periprotodidelphis	extinct	47.8	56
Protodidelphis	extinct	47.8	59.2
Protodidelphis	extinct	47.8	59.2
Eobrasilia	extinct	47.8	56
Carolopaulacoutoia	extinct	47.8	59.2
Carolopaulacoutoia	extinct	47.8	59.2
Didelphopsis	extinct	47.8	59.2
Didelphopsis	extinct	47.8	59.2
Itaboraidelphys	extinct	47.8	56
Itaboraidelphys	extinct	47.8	56
Astraponotus	extinct	33.9	37.71
Astraponotus	extinct	33.9	41.2
Astraponotus	extinct	37.71	47.8
Liarthrus	extinct	23.03	27.82
Maddenia	extinct	30.617	30.77
Parastrapotherium	extinct	23.03	27.82
Parastrapotherium	extinct	20	29
Scaglia	extinct	37.71	47.8
Scaglia	extinct	37.71	47.8
Uruguaytherium	extinct	23.03	27.82
Xenastrapotherium	extinct	23.03	27.82
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya	extinct	47.8	52.5
Albertogaudrya	extinct	33.9	37.71
Albertogaudrya	extinct	37.71	47.8
Tetragonostylops	extinct	37.71	47.8
Tetragonostylops	extinct	47.8	56
Tetragonostylops	extinct	47.8	56
Trigonostylops	extinct	47.8	56
Trigonostylops	extinct	37.71	47.8
Trigonostylops	extinct	38	41.2
Trigonostylops	extinct	47.8	56
Trigonostylops	extinct	33.9	41.2
Trigonostylops	extinct	41.3	47.8
Trigonostylops	extinct	38	47.8
Trigonostylops	extinct	37.71	47.8
Trigonostylops	extinct	47.8	56
Trigonostylops	extinct	37.71	47.8
Urkudelphis	extinct	23.03	27.82
Cynthiacetus	extinct	33.9	37.71
Ocucajea	extinct	38	41.2
Pachycetus	extinct	38	41.2
Supayacetus	extinct	38	41.2
Mystacodon	extinct	33.9	37.71
Peregocetus	extinct	41.3	47.8
Proeocoleophorus	extinct	37.71	47.8
Saltatherium	extinct	40	46
tegotherium	extinct	46.2	55
cf. Yuruatherium	extinct	30	33.9
Yuruatherium	extinct	27.2	31.1
Prozaedyus	extinct	23.03	27.82
Prozaedyus	extinct	23.03	33.9
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	27.82	33.9
Archaeutatus	extinct	23.03	33.9
Archaeutatus	extinct	23.03	27.82
Archaeutatus	extinct	27.82	33.9
Astegotherium	extinct	30	33.9
Astegotherium	extinct	47.8	56
Barrancatatus	extinct	27.82	33.9
Barrancatatus	extinct	33.9	37.71
Barrancatatus	extinct	30	33.9
Barrancatatus	extinct	30	33.9
Kuntinaru	extinct	23.03	27.82
Lumbreratherium	extinct	48	50
Machlydotherium	extinct	27.82	33.9
Machlydotherium	extinct	23.03	27.82
Machlydotherium	extinct	33.9	37.71
Machlydotherium	extinct	23.03	33.9
Machlydotherium	extinct	37.2	40.4
Machlydotherium	extinct	37.71	47.8
Mazzoniphractus	extinct	36	39
Meteutatus	extinct	37.71	47.8
Meteutatus	extinct	23.03	27.82
Meteutatus	extinct	27.82	33.9
Meteutatus	extinct	23.03	33.9
Meteutatus	extinct	36	39
Meteutatus	extinct	33.9	37.71
Meteutatus	extinct	30	33.9
Meteutatus	extinct	27.82	33.9
Parastegosimpsonia	extinct	27.2	31.1
Parastegosimpsonia	extinct	30	33.9
Parastegosimpsonia	extinct	27.2	31.1
Parastegosimpsonia	extinct	27.82	33.9
Parutaetus	extinct	37.71	47.8
Parutaetus	extinct	36	39
Parutaetus	extinct	27.82	33.9
Parutaetus	extinct	30	33.9
Parutaetus	extinct	23.03	27.82
Parutaetus	extinct	33.9	37.71
Parutaetus	extinct	41.2	47.8
Parutaetus	extinct	27.82	33.9
Prostegotherium	extinct	36	39
Prostegotherium	extinct	33.9	37.71
Prostegotherium	extinct	48	54
Prostegotherium	extinct	39	42
Prostegotherium	extinct	44	51
Pseudeutatus	extinct	33.9	37.71
Pseudeutatus	extinct	36	39
Pseudostegotherium	extinct	39	42
Pseudostegotherium	extinct	36	39
Pucatherium	extinct	33.9	37.71
Pucatherium	extinct	48	54
Pucatherium	extinct	44	45
Pucatherium	extinct	39	42
Pucatherium	extinct	51	55
Punatherium	extinct	33.9	37.71
Riostegotherium	extinct	50	51
Riostegotherium	extinct	47	48
Riostegotherium	extinct	47.8	56
Stegosimpsonia	extinct	41.3	47.8
Stegosimpsonia	extinct	47	48
Stegosimpsonia	extinct	39	42
Stegosimpsonia	extinct	33.9	37.71
Stegosimpsonia	extinct	36	39
Utaetus	extinct	36	39
Utaetus	extinct	39	42
Utaetus	extinct	48	54
Utaetus	extinct	47	48
Utaetus	extinct	39	42
? Eocoleophorus	extinct	36	39
Clypeotherium	extinct	23.03	27.82
Glyptatelus	extinct	23.03	27.82
Glyptatelus	extinct	33.9	37.71
Lomaphorelus	extinct	33.9	37.71
Palaeopeltis	extinct	23.03	27.82
Palaeopeltis	extinct	23.03	27.82
Vassallia	extinct	23.03	27.82
Peltephilus	extinct	23.03	27.82
Peltephilus	extinct	30	33.9
Peltephilus	extinct	23.03	27.82
Ronwolffia	extinct	24.5	24.5
Greniodon	extinct	41.3	47.8
Eolicaphrium	extinct	37.71	47.8
Adiantoides	extinct	37.71	47.8
Indalecia	extinct	46.2	47.8
Proadiantus	extinct	23.03	27.82
Thadanius	extinct	23.03	27.82
Tricoelodus	extinct	23.03	27.82
Tricoelodus	extinct	24.5	24.5
Didolodus	extinct	41.3	47.8
Didolodus	extinct	37.71	47.8
Didolodus	extinct	38	47.8
Didolodus	extinct	38	41.2
Ernestokokenia	extinct	33.9	37.71
Ernestokokenia	extinct	47.8	56
Ernestokokenia	extinct	41.3	47.8
Ernestokokenia	extinct	47.8	56
Ernestokokenia	extinct	38	41.2
Ernestokokenia	extinct	38	47.8
Ernestokokenia	extinct	37.71	47.8
Ernestokokenia	extinct	37.71	47.8
Lamegoia	extinct	47.8	56
Paulogervaisia	extinct	38	41.2
Paulogervaisia	extinct	33.9	37.71
Proectocion	extinct	38	41.2
Proectocion	extinct	37.71	47.8
Ricardocifellia	extinct	47.8	56
Salladolodus	extinct	23.03	27.82
Saltaodus	extinct	41.3	56
Umayodus	extinct	47.8	59.2
Amilnedwardsia	extinct	37.71	47.8
Coniopternium	extinct	23.03	27.82
Coniopternium	extinct	23.03	27.82
Coniopternium	extinct	26	26
Cramauchenia	extinct	23.03	27.82
Ernestohaeckelia	extinct	37.71	47.8
Notodiaphorus	extinct	23.03	27.82
Rutimeyeria	extinct	38	41.2
Victorlemoineia	extinct	37.71	47.8
Victorlemoineia	extinct	47.8	56
Victorlemoineia	extinct	41.3	47.8
Victorlemoineia	extinct	47.8	56
Victorlemoineia	extinct	47.8	56
Anisolambda	extinct	47.8	56
Anisolambda	extinct	47.8	56
Anisolambda	extinct	37.71	47.8
Anisolambda	extinct	41.3	47.8
Anisolambda	extinct	37.71	47.8
Anisolambda	extinct	38	41.2
Deuterotherium	extinct	23.03	27.82
Guilielmofloweria	extinct	38	41.2
Heteroglyphis	extinct	33.9	37.71
Lambdaconus	extinct	37.71	47.8
Lambdaconus	extinct	23.03	27.82
Paranisolambda	extinct	47.8	56
Phoradiadius	extinct	37.71	47.8
Polyacrodon	extinct	33.9	37.71
Polymorphis	extinct	33.9	37.71
Proterotherium	extinct	23.03	27.82
Protheosodon	extinct	23.03	27.82
Ricardolydekkeria	extinct	47.8	56
Ricardolydekkeria	extinct	37.71	47.8
Ricardolydekkeria	extinct	38	41.2
Xesmodon	extinct	33.9	37.71
Asmithwoodwardia	extinct	41.3	47.8
Asmithwoodwardia	extinct	47.8	56
Asmithwoodwardia	extinct	47.8	47.89
Asmithwoodwardia	extinct	38	47.8
Asmithwoodwardia	extinct	37.71	47.8
Asmithwoodwardia	extinct	37.71	47.8
Asmithwoodwardia	extinct	47.8	56
Miguelsoria	extinct	47.8	56
Protolipterna	extinct	47.8	56
Sparnotheriodon	extinct	37.71	47.8
aff_Clenia	extinct	33.3	35
Eomicrobiotherium	extinct	47.8	56
Eomicrobiotherium	extinct	23.03	27.82
Eomicrobiotherium	extinct	33.3	33.9
Kirutherium	extinct	28.1	37.71
Microbiotherium	extinct	27.82	33.9
