/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S15. Revised site-to-site correlation tie points between ODP Sites 208-1263 and 208-1265. PANGAEA, https://doi.org/10.1594/PANGAEA.917521, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.835017 * LONGITUDE: 2.639233
	DATE/TIME START: 2003-04-08T00:00:00 * DATE/TIME END: 2003-04-15T00:00:00
	MINIMUM DEPTH, sediment/rock: 42.750 m * MAXIMUM DEPTH, sediment/rock: 285.500 m
Event(s):	208-1265 * LATITUDE: -28.835017 * LONGITUDE: 2.639233 * DATE/TIME START: 2003-04-08T00:00:00 * DATE/TIME END: 2003-04-15T00:00:00 * ELEVATION: -3059.6 m * Penetration: 1051.6 m * Recovery: 586.9 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 70 cores; 618.6 m cored; 433 m drilled; 94.9 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tie point (Tie point) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: correctde
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1743 data points
*/
Sample label	Depth sed [m] (mbsf)	Depth comp [mcd]	Tie point	Sample label	Depth sed [m] (mbsf)	Depth comp r [rmcd]	Depth comp r [rmcd] (correctde)	Reference
208-1265B-15-5,105	135.250	153.92	Ties To	208-1263A-6-2,95	42.75	50.00	49.50	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-15-3,27	136.270	156.02	Ties To	208-1263A-6-3,75	44.05	51.30	50.80	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-15-4,41	137.910	157.66	Ties To	208-1263A-6-4,14	44.94	52.19	51.69	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-16-1,135	143.850	164.28	Ties To	208-1263B-1-3,110	50.10	57.40	56.90	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-16-3,110	146.600	167.03	Ties To	208-1263B-1-5,73	52.73	60.03	59.53	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-16-4,68	147.680	168.10	Ties To	208-1263B-1-6,58	54.08	61.38	60.88	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-17-1,98	148.180	169.29	Ties To	208-1263A-7-3,52	53.32	62.38	61.88	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-17-3,65	150.850	171.97	Ties To	208-1263A-7-5,38	56.18	65.24	64.74	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-17-4,142	153.120	174.24	Ties To	208-1263B-2-3,78	59.28	68.28	67.78	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-17-5,96	154.160	175.28	Ties To	208-1263B-2-4,61	60.61	69.61	69.11	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-17-6,115	155.850	176.97	Ties To	208-1263A-8-2,103	61.83	71.93	71.43	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-17-3,107	156.070	177.30	Ties To	208-1263A-8-3,20	62.50	72.61	72.11	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-18-1,125	157.950	180.48	Ties To	208-1263B-3-2,135	67.85	78.30	77.80	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-18-3,26	159.960	182.49	Ties To	208-1263B-3-4,133	70.83	81.28	80.78	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-18-4,50	161.700	184.23	Ties To	208-1263A-9-3,50	72.30	83.44	82.94	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-18-5,30	163.000	185.53	Ties To	208-1263A-9-4,77	74.07	85.21	84.71	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-18-6,10	164.300	186.83	Ties To	208-1263A-9-5,78	75.58	86.72	86.22	Westerhold et al. 2017, corrected by -0.50 cm
208-1265A-18-3,110	165.600	187.60	Ties To	208-1263A-9-7,5	77.35	88.49	87.99	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-19-2,38	168.080	190.55	Ties To	208-1263B-4-5,35	80.85	92.28	91.78	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-19-3,83	170.030	192.51	Ties To	208-1263A-10-6,100	86.80	98.09	97.59	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-19-3,106	170.260	192.74	Ties To	208-1263A-10-7,37	87.67	98.96	98.46	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-19-3,129	170.490	192.97	Ties To	208-1263B-5-2,49	85.82	100.07	99.57	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-19-3,144	170.640	193.12	Ties To	208-1263B-5-2,118	86.51	100.76	100.26	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-19-4,18	170.880	193.36	Ties To	208-1263B-5-3,105	87.88	102.13	101.63	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-19-4,38	171.080	193.56	Ties To	208-1263B-5-4,33	88.66	102.91	102.41	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-19-4,116	171.860	194.34	Ties To	208-1263B-5-5,5	89.88	104.13	103.63	Westerhold et al. 2017, corrected by -0.50 cm
208-1265B-19-4,135	172.050	194.53	Ties To	208-1263B-5-5,38	90.21	104.46	103.96	Westerhold et al. 2017, corrected by -0.50 cm
