/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S19. Characteristic remanent magnetization for discrete samples from ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917533, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM DEPTH, sediment/rock: 58.520 m * MAXIMUM DEPTH, sediment/rock: 134.780 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Half (Half) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Declination [deg] (Decl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Inclination [deg] (Incl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Maximum angular deviation [deg] (MAD) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Laboratory (Lab) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	3735 data points
*/
Sample label	Half	Depth sed [m]	Depth comp r [rmcd]	Decl [deg]	Incl [deg]	MAD [deg]	Lab
208-1263A-8H-2,13	W	60.920	70.041000	14.09	66.54	1.44	INGV
208-1263A-8H-2,36	W	61.150	70.249000	25.55	69.35	1.62	INGV
208-1263A-8H-2,53	W	61.320	70.426000	23.81	73.63	1.40	INGV
208-1263A-8H-2,73	W	61.520	70.635000	15.35	71.41	1.24	INGV
208-1263A-8H-2,93	W	61.720	70.844000	25.19	70.59	0.75	INGV
208-1263A-8H-2,113	W	61.920	71.053000	31.23	72.88	0.80	INGV
208-1263A-8H-2,133	W	62.120	71.262000	14.58	65.69	1.84	INGV
208-1263A-8H-3,3	A	62.320	71.453000	1.10	28.14	6.01	INGV
208-1263A-8H-3,23	A	62.520	71.626000	353.56	55.52	7.27	INGV
208-1263A-8H-3,43	A	62.720	71.835000	8.87	39.19	9.70	INGV
208-1263A-8H-3,63	A	62.920	72.044000	5.33	18.04	1.32	INGV
208-1263A-8H-3,83	A	63.120	72.253000	9.38	20.96	2.00	INGV
208-1263A-8H-3,103	A	63.320	72.462000	9.03	24.98	1.90	INGV
208-1263A-8H-3,123	A	63.520	72.636000	3.95	25.73	2.32	INGV
208-1263A-8H-3,143	A	63.720	72.825000	355.05	29.08	2.26	INGV
208-1263A-8H-4,13	A	63.920	73.034000	6.28	19.95	3.20	INGV
208-1263A-8H-4,32	A	64.110	73.233000	359.44	27.24	3.37	INGV
208-1263A-8H-4,53	A	64.320	73.449000	9.00	21.23	4.03	INGV
208-1263A-8H-4,73	A	64.520	73.625000	346.70	48.68	3.18	INGV
208-1263A-8H-4,93	A	64.720	73.834000	354.84	34.13	4.75	INGV
208-1263A-8H-4,112	A	64.910	74.033000	9.73	21.62	2.13	INGV
208-1263A-8H-4,133	A	65.120	74.252000	5.64	26.77	2.08	INGV
208-1263A-8H-5,3	A	65.320	74.455000	3.53	72.61	8.14	INGV
208-1263A-8H-5,23	A	65.520	74.622000	30.12	83.30	2.60	INGV
208-1263A-8H-5,41	A	65.700	74.804000	191.71	74.11	2.80	INGV
208-1263A-8H-5,63	A	65.920	75.034000	355.46	80.68	2.21	INGV
208-1263A-8H-5,83	A	66.120	75.243000	217.67	78.99	1.78	INGV
208-1263A-8H-5,103	A	66.320	75.451000	356.68	73.67	7.53	INGV
208-1263A-8H-5,120	A	66.490	75.609000	354.64	65.10	5.50	INGV
208-1263A-8H-5,136	A	66.650	75.760000	10.92	49.77	3.36	INGV
208-1263A-8H-6,13	A	66.920	76.042000	269.45	79.59	2.29	INGV
208-1263A-8H-6,33	A	67.120	76.251000	342.45	55.76	4.36	INGV
208-1263A-8H-6,53	A	67.320	76.460000	227.77	74.93	2.04	INGV
208-1263A-9H-2,98	A	71.270	81.432000	308.33	77.67	1.82	INGV
208-1263A-9H-2,143	A	71.720	81.848000	310.96	56.54	0.93	INGV
208-1263A-9H-2,43	A	70.720	80.838000	16.01	42.20	1.87	INGV
208-1263A-9H-2,63	W	70.920	81.067000	346.51	6.57	0.86	INGV
208-1263A-9H-2,83	A	71.120	81.276000	336.71	36.89	2.30	INGV
208-1263A-9H-2,103	A	71.320	81.485000	346.22	28.99	2.40	INGV
208-1263A-9H-2,123	W	71.520	81.680000	351.25	49.08	2.81	INGV
208-1263A-9H-2,143	A	71.720	81.848000	8.08	10.32	1.25	INGV
208-1263A-9H-3,47.5	A	72.265	82.418000	303.33	62.12	1.29	INGV
208-1263A-9H-3,99	A	72.780	82.920000	7.65	41.83	2.85	INGV
208-1263A-9H-3,143	W	73.220	83.379000	331.14	61.44	1.35	INGV
208-1263A-9H-3,13	A	71.920	82.057000	356.70	23.21	1.60	INGV
