/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S29. Age model of ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917594, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM DEPTH, sediment/rock: 72.260 m * MAXIMUM DEPTH, sediment/rock: 287.390 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	630 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	Reference	Comment
208-1263A-9H-3,46	72.260	82.900	32.768	this study	La2010b Eccenticity
208-1263A-9H-4,86	74.160	84.800	32.975	this study	La2010b Eccenticity
208-1263A-9H-6,53	76.830	87.471	33.216	this study	La2010b Eccenticity
208-1263B-4H-3,86	78.360	89.290	33.416	this study	La2010b Eccenticity
208-1263B-4H-5,11	80.610	91.540	33.639	this study	La2010b Eccenticity
208-1263B-4H-5,51	81.010	91.942	33.786	this study	La2010b Eccenticity
208-1263A-10H-4,21	83.010	93.800	34.188	this study	La2010b Eccenticity
208-1263B-5H-1,96	84.960	98.710	34.580	this study	La2010b Eccenticity
208-1263B-5H-4,39	88.720	102.470	34.970	this study	La2010b Eccenticity
208-1263B-5H-5,114	90.970	104.720	35.420	this study	La2010b Eccenticity
208-1263C-1H-3,145	94.450	106.670	35.855	this study	La2010b Eccenticity
208-1263C-1H-5,33	96.330	108.550	36.280	this study	La2010b Eccenticity
208-1263B-6H-2,82	95.820	110.590	36.660	this study	La2010b Eccenticity
208-1263B-6H-4,26	98.260	113.030	37.060	this study	La2010b Eccenticity
208-1263B-6H-6,34	101.340	116.110	37.430	this study	La2010b Eccenticity
208-1263C-2H-2,83	101.830	118.830	37.867	this study	La2010b Eccenticity
208-1263C-2H-5,89	106.390	123.390	38.265	this study	La2010b Eccenticity
208-1263C-2H-7,55	108.550	125.550	38.645	this study	La2010b Eccenticity
208-1263B-7H-4,51	108.010	128.330	39.035	this study	La2010b Eccenticity
208-1263B-7H-5,7	109.070	129.388	39.145	this study	La2010b Eccenticity
208-1263C-3H-2,35	110.850	132.330	39.435	this study	La2010b Eccenticity
208-1263C-3H-2,111	111.610	133.090	39.535	this study	La2010b Eccenticity
208-1263B-8H-2,20	114.200	135.770	39.825	this study	La2010b Eccenticity
208-1263B-8H-2,149	115.490	137.065	39.930	Rivero-Cuesta et al. 2019	La2010b Eccenticity
208-1263A-14H-3,93	120.230	141.260	40.270	Rivero-Cuesta et al. 2019	La2010b Eccenticity
208-1263B-9H-1,146	123.460	146.690	40.656	Rivero-Cuesta et al. 2019	La2010b Eccenticity
208-1263B-9H-4,96	127.460	150.694	41.135	Rivero-Cuesta et al. 2019	La2010b Eccenticity
208-1263A-15H-3,132	130.120	153.850	41.413	Rivero-Cuesta et al. 2019	La2010b Eccenticity
208-1263A-15H-4,80	131.100	154.830	41.520	Rivero-Cuesta et al. 2019	La2010b Eccenticity
208-1263A-15H-5,37	132.170	155.895	41.623	Rivero-Cuesta et al. 2019	La2010b Eccenticity
208-1263B-10H-2,112	134.120	158.160	41.910	Rivero-Cuesta et al. 2019	La2010b Eccenticity
208-1263B-10H-3,42	134.920	158.960	42.010	Westerhold et al. 2017	La2010b Eccenticity
208-1263A-16H-2,1	136.810	161.940	42.385	Westerhold et al. 2017	La2010b Eccenticity
208-1263A-16H-3,3	138.330	163.460	42.575	Westerhold et al. 2017	La2010b Eccenticity
208-1263A-16H-3,117	139.470	164.600	42.675	Westerhold et al. 2017	La2010b Eccenticity
208-1263B-11H-2,93	143.430	168.460	43.120	Westerhold et al. 2017	La2010b Eccenticity
208-1263B-11H-4,43	145.930	170.960	43.399	Westerhold et al. 2017	La2010b Eccenticity
