/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S30. Age model of ODP Site 208-1264. PANGAEA, https://doi.org/10.1594/PANGAEA.917627, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532483 * LONGITUDE: 2.845483
	DATE/TIME START: 2003-04-05T00:00:00 * DATE/TIME END: 2003-04-08T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.020 m * MAXIMUM DEPTH, sediment/rock: 280.360 m
Event(s):	208-1264 * LATITUDE: -28.532483 * LONGITUDE: 2.845483 * DATE/TIME START: 2003-04-05T00:00:00 * DATE/TIME END: 2003-04-08T00:00:00 * ELEVATION: -2505.1 m * Penetration: 566.5 m * Recovery: 563.8 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 61 cores; 566.5 m cored; 0 m drilled; 99.5 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1175 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	Reference	Comment
208-1264B-1H-1-W2	0.020	0.02000	0.000000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-1-W16	0.160	0.16000	0.013000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-1-W57	0.570	0.57000	0.075000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-1-W66	0.660	0.66000	0.101000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-1-W87	0.870	0.87000	0.132000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-1-W127	1.270	1.27000	0.220000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-1-W134	1.340	1.34000	0.246000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-2-W4	1.540	1.54000	0.285000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-2-W23	1.730	1.73000	0.336000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-2-W76	2.260	2.26000	0.425000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-2-W105	2.550	2.55000	0.451000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-2-W129	2.790	2.79000	0.512000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-3-W4	3.040	3.04000	0.544000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-3-W17	3.170	3.17000	0.596000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264B-1H-3-W69	3.690	3.69000	0.712000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-1-W141	1.410	4.37000	0.868000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-2-W17	1.670	4.63000	0.916000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-2-W76	2.260	5.22000	1.032000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-2-W99	2.490	5.45000	1.069000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-2-W138	2.880	5.84000	1.124000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-3-W24	3.240	6.20000	1.192000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-3-W64	3.640	6.60000	1.251000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-3-W94	3.940	6.90000	1.302000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
208-1264A-1H-4-W19	4.690	7.65000	1.396000	Bell et al., 2014; updated in Drury et al., in prep/submitted	d18O to LR04/CR17
