/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S26. Age model of ODP Site 199-1218. PANGAEA, https://doi.org/10.1594/PANGAEA.917575, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 8.889630 * LONGITUDE: -135.366660
	DATE/TIME START: 2001-11-14T00:00:00 * DATE/TIME END: 2001-11-14T00:00:00
	MINIMUM DEPTH, sediment/rock: 52.510 m * MAXIMUM DEPTH, sediment/rock: 267.840 m
Event(s):	199-1218 * LATITUDE: 8.889630 * LONGITUDE: -135.366660 * DATE/TIME: 2001-11-14T00:00:00 * ELEVATION: -4827.2 m * Penetration: 797.1 m * Recovery: 723.7 m * LOCATION: North Pacific Ocean * CAMPAIGN: Leg199 (URI: https://doi.org/10.2973/odp.proc.ir.199.2002) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 80 cores; 735.1 m cored; 62 m drilled; 98.5% recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	641 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	Reference	Comment
199-1218A-6H-5, 31	52.510	59.350	18.650000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-8H-3, 87	64.770	73.160	20.650999	this study; Liebrand updated Pälike et al. 2006	
199-1218A-8H-3, 55	68.750	76.710	21.114000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-9H-5, 64	77.040	85.380	21.811001	this study; Liebrand updated Pälike et al. 2006	
199-1218B-9H-5, 126	77.660	86.000	21.892000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-9H-6, 4	77.940	86.280	21.968000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-9H-6, 76	78.660	87.000	22.075001	this study; Liebrand updated Pälike et al. 2006	
199-1218A-9H-2, 134	77.540	87.800	22.181999	this study; Liebrand updated Pälike et al. 2006	
199-1218A-9H-3, 103	78.730	88.990	22.266001	this study; Liebrand updated Pälike et al. 2006	
199-1218A-9H-4, 62	79.820	90.080	22.348000	this study; Liebrand updated Pälike et al. 2006	
199-1218A-9H-5, 25	80.950	91.210	22.457001	this study; Liebrand updated Pälike et al. 2006	
199-1218A-9H-5, 115	81.850	92.110	22.568001	this study; Liebrand updated Pälike et al. 2006	
199-1218A-9H-6, 35	82.550	92.810	22.670000	this study; Liebrand updated Pälike et al. 2006	
199-1218A-9H-6, 72	82.920	93.180	22.747999	this study; Liebrand updated Pälike et al. 2006	
199-1218B-10H-3, 17	83.070	93.870	22.846001	this study; Liebrand updated Pälike et al. 2006	
199-1218B-10H-3, 147	84.370	95.170	22.954000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-10H-4, 119	85.590	96.390	23.052000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-10H-6, 67	88.070	98.870	23.219000	this study; Liebrand updated Pälike et al. 2006	
199-1218A-10H-3, 63	87.830	99.730	23.327999	this study; Liebrand updated Pälike et al. 2006	
199-1218A-10H-4, 68	89.380	101.280	23.434000	this study; Liebrand updated Pälike et al. 2006	
199-1218A-10H-4, 147	90.170	102.070	23.514999	this study; Liebrand updated Pälike et al. 2006	
199-1218A-10H-5, 125	91.450	103.350	23.601000	this study; Liebrand updated Pälike et al. 2006	
199-1218A-10H-6, 90	92.600	104.500	23.709000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-11H-2, 132	92.220	105.600	23.825001	this study; Liebrand updated Pälike et al. 2006	
199-1218B-11H-3, 36	92.760	106.140	23.905001	this study; Liebrand updated Pälike et al. 2006	
199-1218B-11H-3, 126	93.660	107.040	24.047001	this study; Liebrand updated Pälike et al. 2006	
199-1218B-11H-4, 135	95.250	108.630	24.160999	this study; Liebrand updated Pälike et al. 2006	
199-1218B-11H-6, 1	96.910	110.290	24.263000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-11H-6, 47	97.370	110.750	24.337000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-11H-6, 122	98.120	111.500	24.434999	this study; Liebrand updated Pälike et al. 2006	
199-1218A-11H-4, 74	98.940	112.340	24.544001	this study; Liebrand updated Pälike et al. 2006	
199-1218A-11H-5, 48	100.180	113.580	24.653999	this study; Liebrand updated Pälike et al. 2006	
199-1218A-11H-6, 45	101.650	115.050	24.745001	this study; Liebrand updated Pälike et al. 2006	
199-1218B-12H-2, 67	101.070	116.310	24.823000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-12H-3, 83	102.730	117.970	24.934999	this study; Liebrand updated Pälike et al. 2006	
199-1218B-12H-4, 77	104.170	119.410	25.042000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-12H-5, 54	105.440	120.680	25.125000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-12H-5, 134	106.240	121.480	25.214001	this study; Liebrand updated Pälike et al. 2006	
199-1218A-12H-4, 71	108.410	122.880	25.320999	this study; Liebrand updated Pälike et al. 2006	
199-1218A-12H-5, 8	109.280	123.750	25.430000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-13H-1, 107	109.470	124.960	25.523001	this study; Liebrand updated Pälike et al. 2006	
199-1218B-13H-2, 125	111.150	126.640	25.599001	this study; Liebrand updated Pälike et al. 2006	
199-1218B-13H-3, 122	112.620	128.110	25.702000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-13H-4, 114	114.040	129.530	25.815001	this study; Liebrand updated Pälike et al. 2006	
199-1218B-13H-5, 89	115.290	130.780	25.954000	this study; Liebrand updated Pälike et al. 2006	
199-1218A-13H-4, 22	117.420	132.330	26.046000	this study; Liebrand updated Pälike et al. 2006	
199-1218A-13H-4, 144	118.640	133.550	26.156000	this study; Liebrand updated Pälike et al. 2006	
199-1218A-13H-5, 109	119.790	134.700	26.260000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-14H-2, 2	119.420	135.880	26.343000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-14H-2, 125	120.650	137.110	26.436001	this study; Liebrand updated Pälike et al. 2006	
199-1218B-14H-3, 57	121.470	137.930	26.541000	this study; Liebrand updated Pälike et al. 2006	
199-1218B-14H-4, 56	122.960	139.420	26.646999	this study; Liebrand updated Pälike et al. 2006	
199-1218A-14H-4, 35	127.050	142.470	26.805000	this study; Liebrand updated Pälike et al. 2006	
199-1218A-14H-5, 59	128.790	144.210	26.912001	this study; Liebrand updated Pälike et al. 2006	
