/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S24. Age model of ODP Site 154-926 Ceara Rise. PANGAEA, https://doi.org/10.1594/PANGAEA.917570, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 3.719017 * LONGITUDE: -42.908300
	DATE/TIME START: 1994-02-19T00:00:00 * DATE/TIME END: 1994-02-27T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 282.320 m
Event(s):	154-926 * LATITUDE: 3.719017 * LONGITUDE: -42.908300 * DATE/TIME START: 1994-02-19T00:00:00 * DATE/TIME END: 1994-02-27T00:00:00 * ELEVATION: -3610.0 m * Penetration: 1331.1 m * Recovery: 1322.4 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg154 (URI: https://doi.org/10.2973/odp.proc.ir.154.1995) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 141 cores; 1330.6 m cored; 0 m drilled; 99.4% recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	2500 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	Reference
154-926B-1H-1,0	0.000	0.00	0.000	Wilkens et al. 2017
154-926B-1H-1,95	0.950	0.95	0.024	Wilkens et al. 2017
154-926B-1H-2,45	1.950	1.95	0.045	Wilkens et al. 2017
154-926B-1H-3,5	3.050	3.05	0.071	Wilkens et al. 2017
154-926B-1H-3,60	3.600	3.60	0.094	Wilkens et al. 2017
154-926B-1H-3,101	4.010	4.01	0.105	Wilkens et al. 2017
154-926B-1H-3,135	4.350	4.35	0.115	Wilkens et al. 2017
154-926B-1H-4,28	4.780	4.78	0.127	Wilkens et al. 2017
154-926C-1H-2,117	3.170	5.35	0.139	Wilkens et al. 2017
154-926C-1H-3,70	4.200	6.38	0.162	Wilkens et al. 2017
154-926C-1H-4,60	5.600	7.78	0.198	Wilkens et al. 2017
154-926C-1H-4,135	6.350	8.53	0.220	Wilkens et al. 2017
154-926C-1H-5,30	6.800	8.98	0.231	Wilkens et al. 2017
154-926C-1H-5,72	7.220	9.40	0.243	Wilkens et al. 2017
154-926C-1H-5,120	7.700	9.88	0.252	Wilkens et al. 2017
154-926C-1H-6,85	8.850	11.03	0.279	Wilkens et al. 2017
154-926B-2H-3,35	10.350	11.80	0.303	Wilkens et al. 2017
154-926B-2H-3,95	10.950	12.40	0.323	Wilkens et al. 2017
154-926B-2H-3,137	11.370	12.82	0.334	Wilkens et al. 2017
154-926B-2H-4,25	11.750	13.20	0.346	Wilkens et al. 2017
154-926B-2H-5,77	13.770	15.22	0.398	Wilkens et al. 2017
154-926C-2H-2,64	12.140	15.55	0.409	Wilkens et al. 2017
154-926C-2H-2,114	12.640	16.05	0.420	Wilkens et al. 2017
154-926C-2H-3,54	13.540	16.95	0.436	Wilkens et al. 2017
154-926C-2H-3,144	14.440	17.85	0.475	Wilkens et al. 2017
154-926C-2H-4,18	14.680	18.09	0.485	Wilkens et al. 2017
154-926C-2H-4,127	15.770	19.18	0.516	Wilkens et al. 2017
154-926C-2H-5,74	16.740	20.15	0.546	Wilkens et al. 2017
154-926C-2H-5,115	17.150	20.56	0.566	Wilkens et al. 2017
154-926C-2H-6,22	17.720	21.13	0.590	Wilkens et al. 2017
154-926B-3H-3,8	19.580	21.99	0.621	Wilkens et al. 2017
154-926B-3H-3,35	19.850	22.26	0.633	Wilkens et al. 2017
154-926B-3H-4,47	21.470	23.88	0.693	Wilkens et al. 2017
154-926B-3H-4,77	21.770	24.18	0.704	Wilkens et al. 2017
154-926B-3H-4,137	22.370	24.78	0.724	Wilkens et al. 2017
154-926B-3H-5,80	23.300	25.71	0.743	Wilkens et al. 2017
154-926C-3H-3,61	23.110	26.88	0.788	Wilkens et al. 2017
154-926C-3H-3,88	23.380	27.15	0.798	Wilkens et al. 2017
154-926C-3H-4,63	24.630	28.40	0.835	Wilkens et al. 2017
154-926C-3H-4,106	25.060	28.83	0.854	Wilkens et al. 2017
154-926C-3H-5,13	25.630	29.40	0.875	Wilkens et al. 2017
154-926C-3H-5,66	26.160	29.93	0.895	Wilkens et al. 2017
154-926C-3H-5,148	26.980	30.75	0.926	Wilkens et al. 2017
154-926B-4H-2,115	28.650	31.88	0.959	Wilkens et al. 2017
154-926B-4H-2,135	28.850	32.08	0.969	Wilkens et al. 2017
154-926B-4H-3,30	29.300	32.53	0.979	Wilkens et al. 2017
154-926B-4H-3,50	29.500	32.73	0.989	Wilkens et al. 2017
154-926B-4H-3,85	29.850	33.08	1.000	Wilkens et al. 2017
154-926B-4H-3,119	30.190	33.42	1.013	Wilkens et al. 2017
154-926B-4H-4,5	30.550	33.78	1.029	Wilkens et al. 2017
154-926C-4H-2,61	31.110	34.85	1.073	Wilkens et al. 2017
